stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
17726,17726,"МОТЕЛЬ-КЕМПИНГ ""ОЛЬГИНО""",59.995541,30.116819,0,2,bus
17721,17721,БАЗА РСУ,60.006651,29.742284,0,2,bus
17720,17720,16 КВАРТАЛ,60.002725,29.757231,0,2,bus
17723,17723,ГОРСКАЯ,60.037479,29.975258,0,2,bus
17722,17722,"КРОНШТАДСКОЕ ШОССЕ,38",60.011423,29.725850,0,2,bus
17717,17717,БАЗА РСУ,60.006466,29.742230,0,2,bus
17716,17716,"КРОНШТАДСКОЕ ШОССЕ, 38",60.011615,29.724439,0,2,bus
17719,17719,ГРАЖДАНСКАЯ УЛ.,59.997763,29.766163,0,2,bus
17718,17718,16 КВАРТАЛ,60.002505,29.757505,0,2,bus
17713,17713,"Ж.Д. СТ. ""ПОС.ЛИСИЙ НОС""",60.017210,30.011084,0,2,bus
17712,17712,"МОТЕЛЬ-КЕМПИНГ ""ОЛЬГИНО""",59.996607,30.115183,0,2,bus
17715,17715,ГОРСКАЯ,60.039952,29.973882,0,2,bus
17714,17714,"ПОС. ЛИСИЙ НОС,ВОЕННАЯ УЛ.",60.027870,29.999381,0,2,bus
17710,17710,"ОЛЬГИНО,КЛЮЧЕВОЙ ПР.",59.995475,30.144255,0,2,bus
18151,18151,ДУНАЙСКИЙ ПР.,59.838077,30.396938,0,2,bus
18150,18150,ДУНАЙСКИЙ ПР.,59.839727,30.395930,0,2,bus
18149,18149,"БУДАПЕШТСКАЯ УЛ., УГ. УЛ. Я. ГАШЕКА",59.835738,30.400028,0,2,bus
18155,18155,ПЛОВДИВСКАЯ УЛ.,59.841700,30.393269,0,2,bus
18154,18154,МАЛАЯ КАШТАНОВАЯ АЛЛЕЯ,59.843915,30.391070,0,2,bus
18153,18153,УЛ. ДИМИТРОВА,59.847779,30.387132,0,2,bus
18152,18152,МАЛАЯ КАШТАНОВАЯ АЛЛЕЯ,59.844567,30.391037,0,2,bus
18174,18174,ЛЕНИНГРАДСКАЯ УЛ.,59.783933,30.116143,0,2,bus
18175,18175,"АННИНСКОЕ ШОССЕ, 30",59.783610,30.107960,0,2,bus
18172,18172,"АННИНСКОЕ ШОССЕ, УГ. ТАЛЛИНСКОГО ШОССЕ",59.781100,30.132920,0,2,bus
18170,18170,"ДАЧНЫЙ ПР., 23",59.839748,30.259416,0,2,bus
18171,18171,"СТ. МЕТРО ""ПР. ВЕТЕРАНОВ""",59.842180,30.249930,0,2,bus
18169,18169,УЛ. ПОДВОДНИКА КУЗЬМИНА,59.839781,30.272419,0,2,bus
18116,18116,"УЛ. ОДОЕВСКОГО, 28",59.948048,30.240963,0,2,bus
18119,18119,"ПР. КИМА, УГ. УРАЛЬСКОЙ УЛ.",59.955214,30.241606,0,2,bus
18113,18113,БУХАРЕСТСКАЯ УЛ.,59.829308,30.423728,0,2,bus
18112,18112,"УЛ.ЧУДНОВСКОГО, УГ.ТОВАРИЩЕСКОГО ПР.",59.923863,30.475021,0,2,bus
18115,18115,"СТ. МЕТРО ""ПРИМОРСКАЯ""",59.948060,30.232730,0,2,bus
18114,18114,ТОВАРИЩЕСКИЙ ПР.,59.922395,30.478368,0,2,bus
18125,18125,"ПУЛКОВСКАЯ УЛ., УГ. УЛ. ОРДЖОНИКИДЗЕ",59.842178,30.348425,0,2,bus
18124,18124,ПР. ЮРИЯ ГАГАРИНА,59.844366,30.338930,0,2,bus
18126,18126,"ПУЛКОВСКАЯ УЛ., ТОРГОВЫЙ ЦЕНТР",59.838522,30.349458,0,2,bus
18123,18123,УЛ. ТИПАНОВА,59.853775,30.329473,0,2,bus
18122,18122,УЛ. ГАСТЕЛЛО,59.857720,30.329339,0,2,bus
18128,18128,"БУХАРЕСТСКАЯ УЛ., УГ. УЛ. О.ДУНДИЧА",59.832446,30.418916,0,2,bus
18129,18129,МАЛАЯ БАЛКАНСКАЯ УЛ.,59.828879,30.421722,0,2,bus
18083,18083,ПИОНЕРСКАЯ УЛ.,59.955408,30.298448,0,2,bus
18082,18082,ПР. ЮРИЯ ГАГАРИНА,59.844619,30.336790,0,2,bus
18080,18080,ПЕР. ТАЛАЛИХИНА,59.952002,30.297192,0,2,bus
18087,18087,УЛ. ЛЕНИНА,59.961720,30.305150,0,2,bus
18086,18086,УЛ. ЛЕНИНА,59.961429,30.308050,0,2,bus
18085,18085,"УЛ. ОРДЖОНИКИДЗЕ, УГ. УЛ. ЛЕНСОВЕТА",59.844752,30.330428,0,2,bus
18084,18084,ВВЕДЕНСКАЯ УЛ.,59.957993,30.302535,0,2,bus
18091,18091,"УЛ. ПРОФЕССОРА ПОПОВА, УГ. ПР. МЕДИКОВ",59.971385,30.314991,0,2,bus
18090,18090,АЛТАЙСКАЯ УЛ.,59.849055,30.330229,0,2,bus
18089,18089,"СТ. МЕТРО ""ПЕТРОГРАДСКАЯ""",59.966676,30.313200,0,2,bus
18088,18088,"СТ. МЕТРО ""ПЕТРОГРАДСКАЯ""",59.966192,30.313251,0,2,bus
18095,18095,АПТЕКАРСКИЙ ПР. ПО АПТЕКАРСКОЙ НАБ.,59.976555,30.322276,0,2,bus
18094,18094,УЛ. АКАДЕМИКА ПАВЛОВА,59.975062,30.317416,0,2,bus
18092,18092,"УЛ. ПРОФЕССОРА ПОПОВА, УГ. ПР. МЕДИКОВ",59.970767,30.313962,0,2,bus
18098,18098,"РОССИЙСКИЙ ПР., УГОЛ УЛ. ЛАТЫШСКИХ СТРЕЛКОВ",59.925359,30.471843,0,2,bus
18099,18099,ИНСТРУМЕНТАЛЬНАЯ УЛ.,59.971954,30.324433,0,2,bus
18096,18096,АПТЕКАРСКАЯ НАБ.,59.973602,30.327169,0,2,bus
18097,18097,УЛ. ТИПАНОВА,59.854240,30.329980,0,2,bus
18102,18102,УЛ. ГАСТЕЛЛО,59.859083,30.329639,0,2,bus
18103,18103,УЛ.ВОРОШИЛОВА 9,59.924954,30.446547,0,2,bus
18100,18100,УЛ.ДЖОНА РИДА,59.923553,30.455106,0,2,bus
18101,18101,АПТЕКАРСКИЙ ПР. ПО УЛ. ПРОФ. ПОПОВА,59.971070,30.320700,0,2,bus
18106,18106,ВВЕДЕНСКАЯ УЛ.,59.957546,30.298426,0,2,bus
18104,18104,"УЛ. ФРУНЗЕ, УГ. УЛ. ЛЕНСОВЕТА",59.861938,30.328891,0,2,bus
18105,18105,ШАМШЕВА УЛ.,59.959834,30.301999,0,2,bus
18110,18110,"РОССИЙСКИЙ ПР., УГОЛ ТОВАРИЩЕСКОГО ПР.",59.926202,30.472746,0,2,bus
18111,18111,"ПР. Ю. ГАГАРИНА, УГ. БАССЕЙНОЙ УЛ.",59.864151,30.336699,0,2,bus
18108,18108,"МОСКОВСКИЙ ПР., 194",59.862372,30.321228,0,2,bus
18109,18109,УЛ. КРАСНОГО КУРСАНТА,59.954231,30.293024,0,2,bus
18051,18051,УЛ. ВАСИ АЛЕКСЕЕВА,59.876760,30.271164,0,2,bus
18050,18050,"СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""",59.879705,30.263343,0,2,bus
18052,18052,КРАСНОПУТИЛОВСКАЯ УЛ.,59.873023,30.267323,0,2,bus
18055,18055,УЛ.ХИМИКОВ 18,59.968637,30.474077,0,2,bus
18057,18057,ПР. НАРОДНОГО ОПОЛЧЕНИЯ,59.847693,30.280048,0,2,bus
18059,18059,УЛ. ЧУДНОВСКОГО,59.924619,30.475259,0,2,bus
18060,18060,УЛ. ЧУДНОВСКОГО 6,59.929133,30.476843,0,2,bus
18062,18062,АЛЕКСАНДРОВСКАЯ БОЛЬНИЦА ,59.928159,30.485653,0,2,bus
18065,18065,"ПР. БОЛЬШЕВИКОВ, УГ. УЛ. ПОДВОЙСКОГО",59.913325,30.477745,0,2,bus
18067,18067,ЖЕЛЕЗНОВОДСКАЯ УЛ.,59.952346,30.245576,0,2,bus
18068,18068,"СТАНЦИЯ МЕТРО ""ПРИМОРСКАЯ""",59.948413,30.232594,0,2,bus
18069,18069,ШКИПЕРСКИЙ ПРОТОК,59.933054,30.235105,0,2,bus
18071,18071,СРЕДНИЙ ПР. В.О.,59.930700,30.236285,0,2,bus
