trip_id,start_time,end_time,headway_secs,exact_times
8975471,10:00,16:00,21,0
8975504,10:00,16:00,21,0
8975491,10:00,16:00,21,0
8975461,10:00,16:00,21,0
8975481,10:00,16:00,21,0
8975502,10:00,16:00,21,0
8975506,10:00,16:00,21,0
8975511,10:00,16:00,21,0
8975508,10:00,16:00,21,0
8975530,10:00,16:00,21,0
8975516,10:00,16:00,21,0
8975443,06:00,10:00,20,0
8975445,06:00,10:00,20,0
8975446,06:00,10:00,20,0
8975452,06:00,10:00,20,0
8975449,06:00,10:00,20,0
8975463,06:00,10:00,20,0
8975483,06:00,10:00,20,0
8975453,06:00,10:00,20,0
8975494,06:00,10:00,20,0
8975473,06:00,10:00,20,0
8975465,06:00,10:00,20,0
8975485,06:00,10:00,20,0
8975455,06:00,10:00,20,0
8975496,06:00,10:00,20,0
8975548,20:00,24:00,22,0
8975571,20:00,24:00,22,0
8975565,20:00,24:00,22,0
8975543,20:00,24:00,22,0
8975559,20:00,24:00,22,0
8975573,20:00,24:00,22,0
8975567,20:00,24:00,22,0
8975551,20:00,24:00,22,0
8975545,20:00,24:00,22,0
8975561,20:00,24:00,22,0
8975575,20:00,24:00,22,0
8975553,20:00,24:00,22,0
8975526,16:00,20:00,22,0
8975536,16:00,20:00,22,0
8975521,16:00,20:00,22,0
8975532,16:00,20:00,22,0
8975518,16:00,20:00,22,0
8975528,16:00,20:00,22,0
8975538,16:00,20:00,22,0
8975523,16:00,20:00,22,0
8975534,16:00,20:00,22,0
8975540,16:00,20:00,22,0
8975556,16:00,20:00,22,0
8975456,10:00,16:00,21,0
8975497,10:00,16:00,21,0
8975477,10:00,16:00,21,0
8975469,10:00,16:00,21,0
8975489,10:00,16:00,21,0
8975459,10:00,16:00,21,0
8975500,10:00,16:00,21,0
8975480,10:00,16:00,21,0
8975472,10:00,16:00,21,0
8975505,10:00,16:00,21,0
8975492,10:00,16:00,21,0
8975462,10:00,16:00,21,0
8975482,10:00,16:00,21,0
8975503,10:00,16:00,21,0
8975507,10:00,16:00,21,0
8975512,10:00,16:00,21,0
8975509,10:00,16:00,21,0
8975442,06:00,10:00,20,0
8975444,06:00,10:00,20,0
8975448,06:00,10:00,20,0
8975451,06:00,10:00,20,0
8975447,06:00,10:00,20,0
